cluster_id,stop_id,stop_key,stop_name,Lines,mode,latitude,longitude,x,y
157,cluster_157,cluster_157_casabus,AZHAR OULFA,"['L084', 'L051']",casabus,33.543791200006325,-7.687170199991888,621885.4380758598,3712346.017286251
158,cluster_158,cluster_158_casabus,Angle Avenue Lahraouiyine,"['L039', 'L097', 'L97B']",casabus,33.5537148,-7.576782400000002,632119.7231640462,3713581.6308321212
159,cluster_159,cluster_159_casabus,Angle Avenue Lahraouiyine,"['L039', 'L097', 'L97B']",casabus,33.553943999999994,-7.576226100000001,632171.0204754273,3713607.754672779
160,cluster_160,cluster_160_casabus,Angle Boulevard Tah/ Mohamed 6,['L006'],casabus,33.5357259,-7.576808399999999,632144.6937107723,3711586.930024197
161,cluster_161,cluster_161_casabus,BAB AL BAIDA,['L307'],casabus,33.476441200019615,-7.660854850047834,624425.1542152585,3704909.425016661
162,cluster_162,cluster_162_casabus,BACHAOUIA BOUSKOURA,"['L310', 'L309', 'L300']",casabus,33.4710004,-7.6381359,626544.1257569034,3704333.5961985826
163,cluster_163,cluster_163_casabus,BACHAOUIA BOUSKOURA,"['L310', 'L309', 'L300']",casabus,33.4714095,-7.6386802,626492.9512380185,3704378.2945146514
164,cluster_164,cluster_164_casabus,BACHAOUIAT AL AZHAR,['L082'],casabus,33.598999750000765,-7.489071450004651,640189.5481826308,3718718.3446878972
165,cluster_165,cluster_165_casabus,BASATINE AL FIRDAOUS,['L903'],casabus,33.66784000000242,-7.358955050019607,652142.3352962502,3726535.807713569
166,cluster_166,cluster_166_casabus,BASATINE AL GHOFRANE,['L604'],casabus,33.52308855000423,-7.521930599984074,637260.5572766875,3710256.942448531
167,cluster_167,cluster_167_casabus,BASSATINE AL OULFA,['L050'],casabus,33.55033715001992,-7.69748320008258,620918.7759398266,3713059.761305355
168,cluster_168,cluster_168_casabus,BAYTI SAKAN 1,['L905'],casabus,33.68536335000183,-7.342074300016061,653676.3418302787,3728503.963055234
169,cluster_169,cluster_169_casabus,BD HASSAN 2 MOHAMMEDIA 01,"['L902', 'L800', 'L900', 'L32D', 'L904']",casabus,33.6915899,-7.3944385,648811.3671221753,3729117.724523374
170,cluster_170,cluster_170_casabus,BD HASSAN 2 MOHAMMEDIA 01,"['L902', 'L800', 'L900', 'L32D', 'L904']",casabus,33.69188700000001,-7.393535699999999,648894.5390351893,3729151.9713047654
171,cluster_171,cluster_171_casabus,BD HASSAN 2 MOHAMMEDIA 03,"['L32D', 'L800', 'L904', 'L900']",casabus,33.68766120004172,-7.39937079989511,648360.9236808275,3728674.976227834
172,cluster_172,cluster_172_casabus,BEAUSEJOUR,"['L072', 'L109']",casabus,33.56445440000001,-7.6462215,625657.5334335387,3714686.0949174454
173,cluster_173,cluster_173_casabus,BEAUSEJOUR,"['L072', 'L109']",casabus,33.5649259,-7.646543499999998,625626.9603288627,3714737.985433265
174,cluster_174,cluster_174_casabus,BEN HAMOU,['L120'],casabus,33.4581684,-7.516753600000001,637844.2133380673,3703065.2325921347
