stop_name,primary_mode,num_lines,latitude,longitude,health_facilities_500m
BOULEVARD ABDELHADI BOUTALEB,casabus,1,33.57600745000919,-7.6767091499456175,1
BOULEVARD ABDELMOUMEN,casabus,4,33.57918250000001,-7.6253022,2
BOULEVARD ABDELMOUMEN,casabus,4,33.580195700000004,-7.624611800000001,2
BOULEVARD ABDELMOUMEN 2,casabus,2,33.578079999999986,-7.625376000000001,2
BOULEVARD ABDERRAHIM BOUABID,casabus,2,33.5624467,-7.6430536,0
BOULEVARD ABDERRAHIM BOUABID,casabus,2,33.5627332,-7.6431092,0
BOULEVARD ABOU HOURAIRA,casabus,2,33.56169259999999,-7.572305200000001,2
BOULEVARD ABOU HOURAIRA,casabus,2,33.56227839999998,-7.572077700000001,2
BOULEVARD ABOU HOURAIRA 2,casabus,1,33.5635313,-7.5694865,0
BOULEVARD ABOU HOURAIRA 2,casabus,1,33.5636387,-7.569904700000001,0
BOULEVARD AFGHANISTAN,casabus,4,33.57149010000931,-7.67610319998024,0
BOULEVARD AHL LOGHLAM,casabus,1,33.59989770008981,-7.503758650062265,0
BOULEVARD AHL LOGHLAM AZHAR,casabus,1,33.597739200024286,-7.489595699898958,1
BOULEVARD AHL LOGHLAM SAKANI,casabus,1,33.5978813000082,-7.484230299950411,2
BOULEVARD AHMED MEKOUR,casabus,1,33.614924550001646,-7.536812749985891,0
BOULEVARD AL MAGHRIB AL ARABI,casabus,1,33.599285,-7.484843300000001,2
BOULEVARD AL MAGHRIB AL ARABI,casabus,1,33.6000534,-7.484116800000001,2
BOULEVARD AL QODS,casabus,3,33.5416111,-7.591284599999999,0
BOULEVARD AL QODS,casabus,3,33.54180879999999,-7.5916049,0
BOULEVARD AMGALA,casabus,3,33.5403694,-7.5791858,0
BOULEVARD AMGALA,casabus,3,33.5405456,-7.578865100000002,0
BOULEVARD ANOUAL,casabus,4,33.56957145001145,-7.627391199951738,2
BOULEVARD BEN BARKA,casabus,1,33.6036367,-7.6518743,0
BOULEVARD BEN BARKA,casabus,1,33.6039197,-7.6518181,0
BOULEVARD BORDEAUX,casabus,5,33.59791570000876,-7.6295701500088615,0
