StopName,StopLat,StopLon,NumRoutes
ARRET ISCAE,33.5267629,-7.6357358,1
ARRET KM15,33.6323361,-7.4710648,1
ARRET KM15,33.6323842,-7.4701854,1
ARRET KOREA,33.562237,-7.5957754,2
ARRET KOREA,33.562522,-7.5959144,2
ARRET L'AUBERGE 1,33.6513067,-7.4764008,1
ARRET LAARJA,33.6597636,-7.4387558,1
ARRET LAARJA,33.6597905,-7.4385438,2
ARRET LAMJADBA 1,33.6141716,-7.3607349,1
ARRET LAMJADBA 1,33.6142742,-7.3608175,1
ARRET LFARFARA,33.5431753,-7.7105022,2
ARRET MDAKRA,33.5815778,-7.5625152,2
ARRET MDAKRA,33.581752,-7.5626418,2
ARRET METRO,33.5383836,-7.6432085,4
ARRET PALMERIE 1,33.4864267,-7.6006278,1
ARRET PALMERIE 1,33.4866656,-7.6005762,1
ARRET PERLA,33.3924387,-7.5607912,1
ARRET PERLA,33.3926478,-7.5608886,1
ARRET RACHAD,33.5664447,-7.6094476,9
ARRET TADLA,33.6890681,-7.3921067,1
ARRET TADLA,33.6891901,-7.3917918,1
ARRET TAJ 1,33.386139,-7.5584008,1
ARRET TAJ 1,33.3863195,-7.5584764,1
ARRET TIKIOUIN,33.5780836,-7.5532574,1
ARRET TIYANA 1,33.4440278,-7.5196488,1
ARRET TIYANA 1,33.4440931,-7.5197668,1
ARRONDISSEMENT GHANDI,33.5754049,-7.6518549,5
ARRONDISSEMENT GHANDI,33.5755971,-7.6517976,5
ARRONDISSEMENT LAYMOUNE,33.5377127,-7.6685707,2
ARRONDISSEMENT LAYMOUNE,33.5379741,-7.6680424,2
ARRONDISSEMENT SALAM II,33.5847692,-7.4801216,1
ARRONDISSEMENT SALAM II,33.584964,-7.4800219,1
ASSOCIATION BAYTI,33.6198302,-7.4908789,1
ASSOCIATION BAYTI,33.6199373,-7.4912112,1
ATLANTA SPORT,33.5395966,-7.6815078,2
ATLANTA SPORT,33.5396556,-7.6815601,2
AUDA ANFA,33.561412,-7.6699889,1
AUTOROUTE A7,33.4820217,-7.6290212,1
AUTOROUTE A7,33.4823908,-7.6288971,1
AV 10 MARS,33.5553673,-7.5571919,1
AV 10 MARS,33.5556457,-7.5571008,1
AVENUE 6 NOVEMBRE 1975,33.5517038,-7.5871518,3
AVENUE 6 NOVEMBRE 1975,33.552,-7.5871501,3
AVENUE ABOU BAKR EL KADIRI,33.5275316,-7.6494821,2
AVENUE ABOU BAKR EL KADIRI,33.5276486,-7.6495337,2
AVENUE DES FAR,33.5968,-7.6131341,9
AVENUE HACHMI FILALI,33.5243622,-7.6166775,1
