name,lat,lon
AVENUE JOUDAR,33.5614555,-7.5254649
AVENUE MOHAMED BOUZIANE,33.5638023,-7.5566218
AVENUE MOHAMED BOUZIANE,33.5640166,-7.5567719
AVENUE PASTEUR,33.5959919,-7.6019597
AVENUE PASTEUR,33.596227,-7.6024877
AVENUE REDA GUEDIRA,33.5554079,-7.5737148
AVENUE REDA GUEDIRA,33.5555999,-7.5735893
AVENUE TADDART,33.539733,-7.6179093
AVENUE TADDART,33.5404795,-7.6183981
AZBANE 1,33.5364803,-7.6651715
AZBANE 1,33.5369043,-7.6652872
AZHAR OULFA,33.543774,-7.6871301
AZHAR OULFA,33.5438084,-7.6872103
BAB AL BAIDA,33.4763793,-7.6609219
BAB AL BAIDA,33.4765031,-7.6607878
BACHAOUIA BOUSKOURA,33.4710004,-7.6381359
BACHAOUIA BOUSKOURA,33.4714095,-7.6386802
BACHAOUIAT AL AZHAR,33.5989671,-7.4890832
BACHAOUIAT AL AZHAR,33.5990324,-7.4890597
BASATINE AL FIRDAOUS,33.6677546,-7.3589731
BASATINE AL FIRDAOUS,33.6679254,-7.358937
BASATINE AL GHOFRANE,33.5230467,-7.5218971
BASATINE AL GHOFRANE,33.5231304,-7.5219641
BASSATINE AL OULFA,33.5502292,-7.6975482
BASSATINE AL OULFA,33.5504451,-7.6974182
BAYTI SAKAN 1,33.6852774,-7.3420886
BAYTI SAKAN 1,33.6854493,-7.34206
BD HASSAN 2 MOHAMMEDIA 01,33.6915899,-7.3944385
BD HASSAN 2 MOHAMMEDIA 01,33.691887,-7.3935357
BD HASSAN 2 MOHAMMEDIA 03,33.6875746,-7.3992663
BD HASSAN 2 MOHAMMEDIA 03,33.6877478,-7.3994753
BEAUSEJOUR,33.5644544,-7.6462215
BEAUSEJOUR,33.5649259,-7.6465435
BEN HAMOU,33.4581684,-7.5167536
BEN HAMOU,33.4583632,-7.517086
BENI MGUILD,33.5711141,-7.604315
BENJDIA,33.5850407,-7.6071721
BLOC 33 LALLA MERIEM,33.5603039,-7.5527721
BLOC 33 LALLA MERIEM,33.5604242,-7.55285
BNI YAKHLEF,33.6642642,-7.3409352
BNI YAKHLEF 2,33.6611444,-7.3425011
