name,lat,lon,nearest_hosp_m,nearest_hosp_km,nearest_hosp
ARRET METRO,33.5383836,-7.6432085,1470.367173528706,1.470367173528706,Clinique Californie
ARRET PALMERIE 1,33.48654615,-7.600602,5989.177208306878,5.989177208306878,HOPITAL UNIVERSITAIRE DE PROXIMITE
ARRET PERLA,33.39254325,-7.5608398999999995,16441.69484669427,16.441694846694272,Clinic Lina
ARRET RACHAD,33.5664447,-7.6094476,514.640546192995,0.5146405461929949,Clinique Hermitage
ARRET TADLA,33.6891291,-7.39194925,13092.238833448653,13.092238833448652,Hôpital général de Casablanca Azhar-Bernoussi
ARRET TAJ 1,33.38622925,-7.558438600000001,17158.063438352416,17.158063438352414,Clinic Lina
ARRET TIKIOUIN,33.5780836,-7.5532574,340.7389818354959,0.3407389818354959,مستشفى الوفاء
ARRET TIYANA 1,33.44406045,-7.5197078,12913.432966306444,12.913432966306443,HOPITAL UNIVERSITAIRE DE PROXIMITE
ARRONDISSEMENT GHANDI,33.575501,-7.65182625,564.3584643793422,0.5643584643793422,Clinique Socrate
ARRONDISSEMENT LAYMOUNE,33.5378434,-7.6683065500000005,1617.2212548688622,1.6172212548688623,Hôpital du Cheikh Khalifa Ben Zayd Al-Nahyan
ARRONDISSEMENT SALAM II,33.5848666,-7.4800717500000005,1624.0970062349581,1.6240970062349582,Hôpital général de Casablanca Azhar-Bernoussi
ASSOCIATION BAYTI,33.61988375,-7.49104505,1358.1655897146532,1.3581655897146532,Hospital CNSS
ATLANTA SPORT,33.53962610000001,-7.68153395,1873.3293388864531,1.8733293388864531,Hôpital du Cheikh Khalifa Ben Zayd Al-Nahyan
AUDA ANFA,33.561412,-7.6699889,649.4106600002441,0.649410660000244,Polyclinique CNSS Hay Hassani مصحة الضمان الإجتماعي الحي الحسني
AUTOROUTE A7,33.48220625,-7.62895915,4672.24780723934,4.67224780723934,Clinic Lina
AV 10 MARS,33.5555065,-7.55714635,629.5899851257449,0.6295899851257448,Clinique Sidi Othmane
AVENUE 6 NOVEMBRE 1975,33.5518519,-7.58715095,451.489807105677,0.45148980710567704,Centre de Santé Derb el Kheir
AVENUE ABOU BAKR EL KADIRI,33.5275901,-7.6495079,880.9401588285485,0.8809401588285485,Clinic Lina
AVENUE DES FAR,33.5968,-7.6131341,1157.003464795572,1.157003464795572,Clinique les princes مصحة الأمراء
AVENUE HACHMI FILALI,33.52442525,-7.6168408,2521.678749846942,2.521678749846942,HOPITAL UNIVERSITAIRE DE PROXIMITE
AVENUE JOUDAR,33.56139315,-7.5255618,1539.9050785399247,1.5399050785399246,Hôpital Municipal sidi moumen Tacharouk
AVENUE MOHAMED BOUZIANE,33.56390945,-7.55669685,640.4495169861601,0.6404495169861602,Clinique Sidi Othmane
AVENUE PASTEUR,33.59610945,-7.6022237,1224.0976159703039,1.2240976159703039,ATLANTIC CLINIC CASABLANCA
AVENUE REDA GUEDIRA,33.5555039,-7.57365205,338.4671410294044,0.3384671410294044,Hôpital Sidi Othmane
AVENUE TADDART,33.540106249999994,-7.618153700000001,1179.7724548043684,1.1797724548043684,Clinique Les Crêtes
AZBANE 1,33.5366923,-7.66522935,1768.9944164260496,1.7689944164260496,Hôpital du Cheikh Khalifa Ben Zayd Al-Nahyan
AZHAR OULFA,33.5437912,-7.687170200000001,1624.6813538908887,1.6246813538908886,hopital hassani
BAB AL BAIDA,33.4764412,-7.66085485,4887.966142156147,4.887966142156147,Clinic Lina
BACHAOUIA BOUSKOURA,33.47120495,-7.63840805,5529.584172976504,5.529584172976504,Clinic Lina
BACHAOUIAT AL AZHAR,33.598999750000004,-7.48907145,66.58161656155129,0.06658161656155129,HGC Hôpital Général de Casablanca
BASATINE AL FIRDAOUS,33.66784,-7.3589550500000005,13829.802562267567,13.829802562267567,Hôpital général de Casablanca Azhar-Bernoussi
BASATINE AL GHOFRANE,33.52308855,-7.5219306,5488.3628553903445,5.488362855390345,Clinique Sidi Othmane
BASSATINE AL OULFA,33.55033715,-7.697483200000001,1303.6709934332082,1.3036709934332082,hopital hassani
BAYTI SAKAN 1,33.68536335,-7.3420743,16222.84577615823,16.22284577615823,Hôpital général de Casablanca Azhar-Bernoussi
BD HASSAN 2 MOHAMMEDIA 01,33.69173845,-7.3939871,13194.060595140745,13.194060595140746,Hôpital général de Casablanca Azhar-Bernoussi
BD HASSAN 2 MOHAMMEDIA 03,33.687661199999994,-7.3993708,12529.11848209269,12.52911848209269,Hôpital général de Casablanca Azhar-Bernoussi
BEAUSEJOUR,33.564690150000004,-7.6463825,513.6313839483281,0.5136313839483281,Clinique Orl Beausejour
BEN HAMOU,33.4582658,-7.5169198,11794.28548596959,11.79428548596959,Hôpital Sekkat
BENI MGUILD,33.5711141,-7.604315,947.9528473232966,0.9479528473232967,Clinique Hermitage
BENJDIA,33.5850407,-7.6071721,656.5595592360285,0.6565595592360285,Clinique Zarhoun
BLOC 33 LALLA MERIEM,33.560364050000004,-7.552811050000001,814.7644651500982,0.8147644651500981,Clinique Sidi Othmane
BNI YAKHLEF,33.6642642,-7.3409352,15059.7221600563,15.059722160056301,Hôpital général de Casablanca Azhar-Bernoussi
BNI YAKHLEF 2,33.6611444,-7.3425011,14768.65778373355,14.76865778373355,Hôpital général de Casablanca Azhar-Bernoussi
BOULEVARD 9 AVRIL,33.58244835,-7.628848,640.5120306913552,0.6405120306913552,Clinical Les Fleurs
BOULEVARD ABDELHADI BOUTALEB,33.576007450000006,-7.67670915,439.60747892728017,0.4396074789272802,Clinique Yasmine
BOULEVARD ABDELMOUMEN,33.579689099999996,-7.624957,344.1141321903221,0.3441141321903221,Clinical Les Fleurs
BOULEVARD ABDELMOUMEN 2,33.57808,-7.625376,440.70946942467066,0.44070946942467065,Centre Hospitalier Universitaire Ibn Rochd المركز الإستشفائي الجامعي إبن رشد
BOULEVARD ABDERRAHIM BOUABID,33.56258995,-7.6430814,599.4887154467502,0.5994887154467502,Clinique Riviera
BOULEVARD ABOU HOURAIRA,33.5619855,-7.57219145,389.0202882973221,0.3890202882973221,Hopital Sidi Othmane
BOULEVARD ABOU HOURAIRA 2,33.563585,-7.5696956,638.4274534287001,0.6384274534287001,Hopital Sidi Othmane
BOULEVARD AFGHANISTAN,33.5714901,-7.6761032,613.9417072759844,0.6139417072759844,Clinique Yasmine
BOULEVARD AHL LOGHLAM,33.5998977,-7.50375865,846.9683487355543,0.8469683487355543,Hôpital AL mansour
BOULEVARD AHL LOGHLAM AZHAR,33.5977392,-7.4895957,92.46027147392365,0.09246027147392366,HGC Hôpital Général de Casablanca
BOULEVARD AHL LOGHLAM SAKANI,33.5978813,-7.4842303,165.06280387761936,0.16506280387761935,Hôpital général de Casablanca Azhar-Bernoussi
BOULEVARD AHMED MEKOUR,33.6148624,-7.536792,675.1251960650065,0.6751251960650065,Hôpital Privé de Casablanca Aîn Sebaâ
BOULEVARD AL MAGHRIB AL ARABI,33.5996692,-7.48448005,104.18332225225053,0.10418332225225053,Hôpital général de Casablanca Azhar-Bernoussi
BOULEVARD AL QODS,33.54170995,-7.59144475,548.6690897270461,0.5486690897270461,Hôpital Sekkat
BOULEVARD AMGALA,33.5404575,-7.57902545,1086.0286196158513,1.0860286196158513,Hôpital Sekkat
BOULEVARD ANOUAL,33.56957145,-7.6273912,435.9553501752234,0.43595535017522336,Polyclinique de la Sécurité sociale
BOULEVARD BEN BARKA,33.6037782,-7.6518462,806.9171405606296,0.8069171405606296,Clinique Andalouss مصحة الاندلس
BOULEVARD BORDEAUX,33.5979157,-7.62957015,533.1606681590531,0.533160668159053,Clinique Rachidi
BOULEVARD BOUALAM,33.56138445,-7.5366645000000005,1558.6411903303645,1.5586411903303645,المركز الصحي المسيرة 2 (المستوى التاني)
BOULEVARD CHEFCHAOUNI,33.62795585,-7.50055155,1907.6344576098898,1.9076344576098898,Hospital CNSS
BOULEVARD DAKHLA,33.5333817,-7.6008119999999995,843.2225640835445,0.8432225640835445,HOPITAL UNIVERSITAIRE DE PROXIMITE
BOULEVARD DAKHLA 2,33.543742249999994,-7.5768888,958.587377303103,0.9585873773031031,Centre Hospitalier Préfectoral de Ben M'Sick
BOULEVARD DE BOURGOGNE,33.595046499999995,-7.6506794,412.88899909181634,0.41288899909181637,Clinique Andalouss مصحة الاندلس
BOULEVARD DE BOUSKOURA,33.5573617,-7.6490748,1066.9260899100354,1.0669260899100355,Clinique Attal
BOULEVARD DE GAZA,33.56868335,-7.5842942,1518.3826436821632,1.5183826436821632,Hôpital Sidi Othmane
BOULEVARD DE LA MECQUE,33.545986049999996,-7.63167575,108.27760391891437,0.10827760391891436,Clinique Californie
BOULEVARD DE LA RESISTANCE,33.589201,-7.60384895,803.4199079477089,0.8034199079477089,Akdital Clinique Ain Berja
BOULEVARD DE MAKRO,33.594979300000006,-7.5284268,634.9196049834474,0.6349196049834473,Clinique Adoha
BOULEVARD DE RIYAD,33.673169099999996,-7.393864799999999,11674.313752265281,11.674313752265281,Hôpital général de Casablanca Azhar-Bernoussi
BOULEVARD DE TEMARA,33.5497357,-7.5992452,312.8547150425325,0.31285471504253254,Clinique Ain Chock
BOULEVARD DES FACULTES,33.542120350000005,-7.6773322,1413.916412971985,1.413916412971985,Hôpital du Cheikh Khalifa Ben Zayd Al-Nahyan
BOULEVARD DRISS EL HARTI,33.54825425,-7.5728858500000005,655.9155708886108,0.6559155708886107,Centre Hospitalier Préfectoral de Ben M'Sick
BOULEVARD DU NIL,33.558271,-7.569085899999999,367.0700896962596,0.3670700896962596,Hopital Sidi Othmane
BOULEVARD EL HARTI,33.543869900000004,-7.5803265,807.5055790802545,0.8075055790802546,Hôpital Sekkat
BOULEVARD EL YAZIDI,33.601394049999996,-7.51558485,529.0878816038964,0.5290878816038964,clinique firdaous
BOULEVARD FATIMA ZAROUAL,33.5238365,-7.5966661,1850.5340920421395,1.8505340920421396,HOPITAL UNIVERSITAIRE DE PROXIMITE
BOULEVARD FOUARATE,33.576181399999996,-7.5689077000000005,500.10466853652946,0.5001046685365295,Clinique Al Mouahhidine
BOULEVARD HAJ FATEH,33.53875065,-7.6795533,1838.1059320080133,1.8381059320080133,Hôpital du Cheikh Khalifa Ben Zayd Al-Nahyan
BOULEVARD HAJ FATEH 2,33.5511417,-7.6892307,829.017752514362,0.8290177525143619,hopital hassani
BOULEVARD HAJ FATEH OULFA,33.54923265,-7.6881597,1024.3421056962752,1.0243421056962752,hopital hassani
BOULEVARD HASSAN 1,33.593459,-7.6229835,185.06964644004054,0.18506964644004054,مصحة تعاضدية رجال التعليم - كنوبس
BOULEVARD HASSAN 2 MOHAMMEDIA 2,33.69002255,-7.3962519,12914.16975212609,12.91416975212609,Hôpital général de Casablanca Azhar-Bernoussi
BOULEVARD HASSAN EL ALLAOUI,33.57979675,-7.586588000000001,1108.2577780475244,1.1082577780475245,Akdital Clinique Ain Berja
BOULEVARD HOUCINE SOUSSI,33.58398595,-7.52932405,1049.3288428177825,1.0493288428177825,Hôpital Municipal sidi moumen Tacharouk
BOULEVARD IBN TACHFINE,33.58479035,-7.573414550000001,809.253829143177,0.809253829143177,Clinique Al Mouahhidine
BOULEVARD IBNOU SINA,33.57193895,-7.6683466,533.6475695711359,0.5336475695711359,Polyclinique CNSS Hay Hassani مصحة الضمان الإجتماعي الحي الحسني
BOULEVARD IBNOU SINA N43,33.5753223,-7.6620226,628.7010209641666,0.6287010209641666,Clinical Abbadi
BOULEVARD IMAM ALI,33.5977604,-7.520160150000001,192.0195814739619,0.1920195814739619,Clinique Adoha
BOULEVARD L'OCEAN ATLANTIQUE,33.5872965,-7.6848557500000005,1114.8426705138318,1.1148426705138317,Clinic Guess
BOULEVARD LA RESISTENCE MO,33.68132315,-7.405473799999999,11626.977204506396,11.626977204506396,Hôpital général de Casablanca Azhar-Bernoussi
BOULEVARD LALA ASMA,33.57697895,-7.5406869499999996,730.1960545564127,0.7301960545564127,Clinique Bournazel
BOULEVARD MOHAMED SIJILMASSI,33.58840845,-7.6397562,268.7995788799692,0.2687995788799692,Clinique Al Massira مصحة المسيرة
BOULEVARD MOHAMED V MO,33.70282025,-7.3944051,14147.369734293678,14.147369734293678,Hôpital général de Casablanca Azhar-Bernoussi
BOULEVARD MOULAY SLIMAN,33.61148245,-7.561158750000001,1642.7388426344553,1.6427388426344554,clinique ain saba3
BOULEVARD MOULAY SMAIL,33.5984948,-7.5759021,1560.6745170980546,1.5606745170980545,ATLANTIC CLINIC CASABLANCA
BOULEVARD NAKHIL,33.552811,-7.482338950000001,4671.091020842512,4.671091020842512,Hôpital Municipal sidi moumen Tacharouk
BOULEVARD NASSIBA BENT KAAB,33.5775957,-7.5464297,251.91166840435233,0.2519116684043523,Clinique Bournazel
BOULEVARD OQBA,33.579632149999995,-7.5592561499999995,683.6436967420238,0.6836436967420239,Clinique Al Mouahhidine
BOULEVARD OUED BEHT,33.5585122,-7.6776259,899.1056675901816,0.8991056675901816,hopital hassani
BOULEVARD OUED DAHAB,33.543560299999996,-7.56873095,1298.9591792253414,1.2989591792253414,Centre Hospitalier Préfectoral de Ben M'Sick
BOULEVARD OUED DRAA,33.55625095,-7.6846635,345.7506761277589,0.3457506761277589,hopital hassani
BOULEVARD OUED EDAOURA 1,33.54258225,-7.6778708,1403.722999278843,1.403722999278843,Hôpital du Cheikh Khalifa Ben Zayd Al-Nahyan
BOULEVARD OUED LAOU,33.560442249999994,-7.6752078,970.6206093231688,0.9706206093231687,Polyclinique CNSS Hay Hassani مصحة الضمان الإجتماعي الحي الحسني
BOULEVARD OUED TENSIFT,33.55274395,-7.68459155,680.5640641293363,0.6805640641293363,hopital hassani
BOULEVARD PALESTINE,33.68622735,-7.3747469,13954.502721171795,13.954502721171796,Hôpital général de Casablanca Azhar-Bernoussi
BOULEVARD RACHIDI,33.5909199,-7.6219522,331.80403958022004,0.33180403958022003,مصحة تعاضدية رجال التعليم - كنوبس
BOULEVARD ROUDANI,33.58475435,-7.63047315,620.6760635364177,0.6206760635364177,Polyclinique Atlas مصحة اطلس
BOULEVARD SMARA,33.537344250000004,-7.58866045,904.2432563627697,0.9042432563627697,HOPITAL UNIVERSITAIRE DE PROXIMITE
